experiment,method,role,model,n_tasks,spearman_mean,regret@1_mean,nregret@1_mean,hit@1_mean,ndcg@1_mean,regret@3_mean,nregret@3_mean,hit@3_mean,ndcg@3_mean,regret@5_mean,nregret@5_mean,hit@5_mean,ndcg@5_mean,regret@10_mean,nregret@10_mean,hit@10_mean,ndcg@10_mean
meta_only,extra_trees,model,extra_trees,72,,0.058941785966445046,0.1569928390149322,0.0,0.8430071609850677,0.03031361190619723,0.07432493682287818,0.05555555555555555,0.8265140635200922,0.01288979050469272,0.03136427295482122,0.08333333333333333,0.8437147444227695,0.0047213298130525305,0.012826854992020844,0.19444444444444445,0.826981738594378
meta_only,global_default,baseline,,72,0.6846115030196646,0.0360121257091275,0.09458661864357783,0.06944444444444445,0.9054133813564221,0.008998916769875498,0.02573861199201796,0.25,0.9088480805632805,0.004863231875964684,0.015769144775834562,0.3611111111111111,0.9185156866364754,0.0020774511168698043,0.0060952317957620504,0.5277777777777778,0.9322956764121216
meta_only,hist_gbrt,model,hist_gbrt,72,,0.058941785966445046,0.1569928390149322,0.0,0.8430071609850677,0.03031361190619723,0.07432493682287818,0.05555555555555555,0.8265140635200922,0.01288979050469272,0.03136427295482122,0.08333333333333333,0.8437147444227695,0.0047213298130525305,0.012826854992020844,0.19444444444444445,0.826981738594378
meta_only,random,baseline,,72,0.0026802884015440023,0.11193404874765091,0.23217680450293188,0.009027777777777779,0.767823195497068,0.031462026872701686,0.07650247463473742,0.03402777777777778,0.7684504634595437,0.01735215505876717,0.04494888839953784,0.06666666666666667,0.7743333537444148,0.008343903672192336,0.02340920010174495,0.13680555555555554,0.7858057803891104
meta_only,random_forest,model,random_forest,72,,0.058941785966445046,0.1569928390149322,0.0,0.8430071609850677,0.03031361190619723,0.07432493682287818,0.05555555555555555,0.8265140635200922,0.01288979050469272,0.03136427295482122,0.08333333333333333,0.8437147444227695,0.0047213298130525305,0.012826854992020844,0.19444444444444445,0.826981738594378
meta_only,ridge,model,ridge,72,,0.058941785966445046,0.1569928390149322,0.0,0.8430071609850677,0.03031361190619723,0.07432493682287818,0.05555555555555555,0.8265140635200922,0.01288979050469272,0.03136427295482122,0.08333333333333333,0.8437147444227695,0.0047213298130525305,0.012826854992020844,0.19444444444444445,0.826981738594378
tfidf_meta,extra_trees,model,extra_trees,72,0.7313904505097759,0.014849292509045006,0.031412663480701944,0.2222222222222222,0.968587336519298,0.005049339368023082,0.012746540745294948,0.3472222222222222,0.9686349027185841,0.0036736836308439314,0.010033811373568508,0.4444444444444444,0.9686520172978901,0.0024351650969973004,0.006082812170984976,0.6111111111111112,0.966528211633003
tfidf_meta,global_default,baseline,,72,0.6846115030196646,0.0360121257091275,0.09458661864357783,0.06944444444444445,0.9054133813564221,0.008998916769875498,0.02573861199201796,0.25,0.9088480805632805,0.004863231875964684,0.015769144775834562,0.3611111111111111,0.9185156866364754,0.0020774511168698043,0.0060952317957620504,0.5277777777777778,0.9322956764121216
tfidf_meta,hist_gbrt,model,hist_gbrt,72,0.7058091836105655,0.03094584289157787,0.06975399053538066,0.05555555555555555,0.9302460094646194,0.009528338793940992,0.027663086211132247,0.20833333333333334,0.943012106027498,0.005253703827675565,0.01724882666803749,0.2916666666666667,0.9472661812337352,0.0023526400754421864,0.005847861878527802,0.4861111111111111,0.9536279890146994
tfidf_meta,random,baseline,,72,0.0026802884015440023,0.11193404874765091,0.23217680450293188,0.009027777777777779,0.767823195497068,0.031462026872701686,0.07650247463473742,0.03402777777777778,0.7684504634595437,0.01735215505876717,0.04494888839953784,0.06666666666666667,0.7743333537444148,0.008343903672192336,0.02340920010174495,0.13680555555555554,0.7858057803891104
tfidf_meta,random_forest,model,random_forest,72,0.7052900820912384,0.0139212344479995,0.03832130122498692,0.18055555555555555,0.9616786987750129,0.010432475952424133,0.02788746491529115,0.2361111111111111,0.9561534144152782,0.009090370136003527,0.0245651291325263,0.2916666666666667,0.9555463432636988,0.0018401758951126284,0.0056973383615228045,0.5416666666666666,0.957652039677188
tfidf_meta,ridge,model,ridge,72,0.6466429695322367,0.03849878956840276,0.08916692328147784,0.05555555555555555,0.9108330767185223,0.010822008796426492,0.025075338158798473,0.18055555555555555,0.9267287578977642,0.00638701195533556,0.013689921775021156,0.2777777777777778,0.9313711938445977,0.0025906791785899716,0.006548491242371285,0.4166666666666667,0.9368370823245488
tfidf_only,extra_trees,model,extra_trees,72,0.6590484550245042,0.039952483023644375,0.10296596674635462,0.05555555555555555,0.8970340332536454,0.01318168122932826,0.03494330453891533,0.2361111111111111,0.8992140746595498,0.0078786854204903,0.021956311116203824,0.2916666666666667,0.9072823612367478,0.002921733462027984,0.007258123384521007,0.5416666666666666,0.9203555823895907
tfidf_only,global_default,baseline,,72,0.6846115030196646,0.0360121257091275,0.09458661864357783,0.06944444444444445,0.9054133813564221,0.008998916769875498,0.02573861199201796,0.25,0.9088480805632805,0.004863231875964684,0.015769144775834562,0.3611111111111111,0.9185156866364754,0.0020774511168698043,0.0060952317957620504,0.5277777777777778,0.9322956764121216
tfidf_only,hist_gbrt,model,hist_gbrt,72,0.6651334450985773,0.030432041497114908,0.08149351666592722,0.1111111111111111,0.9185064833340727,0.007355327020564898,0.02081050125865834,0.2361111111111111,0.9315292900992966,0.004984153748055996,0.014629983300719844,0.3194444444444444,0.931880902000298,0.0029951058316989767,0.01029526506376046,0.4722222222222222,0.9385981042514709
tfidf_only,random,baseline,,72,0.0026802884015440023,0.11193404874765091,0.23217680450293188,0.009027777777777779,0.767823195497068,0.031462026872701686,0.07650247463473742,0.03402777777777778,0.7684504634595437,0.01735215505876717,0.04494888839953784,0.06666666666666667,0.7743333537444148,0.008343903672192336,0.02340920010174495,0.13680555555555554,0.7858057803891104
tfidf_only,random_forest,model,random_forest,72,0.6639473140249829,0.02978715885744623,0.0810447098411759,0.09722222222222222,0.9189552901588242,0.011843041496888987,0.03368036673049643,0.2638888888888889,0.911238685218858,0.007356751074284845,0.021790104509099337,0.3472222222222222,0.9181648610882179,0.0026849849590747394,0.005979686583235555,0.5416666666666666,0.9299158756667611
tfidf_only,ridge,model,ridge,72,0.639553009217263,0.04090364678583213,0.09465417005786383,0.027777777777777776,0.9053458299421363,0.012314937643229626,0.03078874055553909,0.125,0.9176670337614592,0.006884736153807517,0.014820067604771753,0.25,0.9245653727359683,0.0027246311660042,0.006284036596703809,0.4027777777777778,0.9251212242359669
