experiment,method,role,model,task_id,n_candidates,best_true,acc_range,spearman,regret@1,nregret@1,hit@1,ndcg@1,regret@3,nregret@3,hit@3,ndcg@3,regret@5,nregret@5,hit@5,ndcg@5,regret@10,nregret@10,hit@10,ndcg@10
meta_only,model,model,extra_trees,3,166.0,0.9978097622027535,0.9928035043804757,,0.010325762202753497,0.010400610148124857,0.0,0.9895993898518751,0.0012517622027534703,0.0012608358020800789,0.0,0.9819528662812484,0.0012517622027534703,0.0012608358020800789,0.0,0.9745685601441885,0.0012517622027534703,0.0012608358020800789,0.0,0.9764507727972785
meta_only,model,model,extra_trees,6,166.0,0.9809,0.94075,,0.10034999999999994,0.10667020993887849,0.0,0.8933297900611215,0.013050000000000006,0.013871910709540268,0.0,0.940981923149445,0.013050000000000006,0.013871910709540268,0.0,0.9471110602234079,0.013050000000000006,0.013871910709540268,0.0,0.8204286678453295
meta_only,model,model,extra_trees,11,174.0,1.0,0.5424,,0.16959999999999997,0.3126843657817109,0.0,0.6873156342182891,0.11199999999999999,0.20648967551622416,0.0,0.6825375578040418,0.0048000000000000265,0.008849557522123942,0.0,0.7266948979873172,0.0048000000000000265,0.008849557522123942,0.0,0.7523686018893252
meta_only,model,model,extra_trees,12,150.0,0.9840000000000001,0.8840000000000001,,0.03850000000000009,0.04355203619909512,0.0,0.9564479638009049,0.03850000000000009,0.04355203619909512,0.0,0.7148256174036478,0.006000000000000116,0.006787330316742212,0.0,0.7905969451255733,0.0015000000000000568,0.0016968325791855844,0.0,0.765580443866378
meta_only,model,model,extra_trees,14,135.0,0.8805,0.7805,,0.0824999999999999,0.10570147341447779,0.0,0.8942985265855222,0.0824999999999999,0.10570147341447779,0.0,0.8702558942775293,0.0040000000000000036,0.005124919923126206,0.0,0.9046148196130032,0.0040000000000000036,0.005124919923126206,0.0,0.806476944714801
meta_only,model,model,extra_trees,15,143.0,0.9756795422031473,0.32045779685264664,,0.0028615422031473825,0.008929544642857234,0.0,0.9910704553571428,0.0028615422031473825,0.008929544642857234,0.0,0.9842374283441306,0.0014305422031473114,0.004464058035714155,0.0,0.8719500731106116,0.0014305422031473114,0.004464058035714155,0.0,0.9100124909212269
meta_only,model,model,extra_trees,16,125.0,0.9854999999999999,0.8855,,0.0774999999999999,0.08752117447769611,0.0,0.9124788255223039,0.015499999999999958,0.0175042348955392,0.0,0.900206669257569,0.0009999999999998899,0.0011293054771314398,0.0,0.9250368513188995,0.0009999999999998899,0.0011293054771314398,0.0,0.8649773346098842
meta_only,model,model,extra_trees,18,138.0,0.772,0.673,,0.07900000000000007,0.11738484398216949,0.0,0.8826151560178305,0.07900000000000007,0.11738484398216949,0.0,0.7500210357236998,0.05400000000000005,0.08023774145616648,0.0,0.7972934980841755,0.019500000000000073,0.028974739970282423,0.0,0.7935827453040356
meta_only,model,model,extra_trees,22,120.0,0.907,0.8460000000000001,,0.17300000000000004,0.20449172576832153,0.0,0.7955082742316785,0.17300000000000004,0.20449172576832153,0.0,0.6060824780231208,0.09450000000000003,0.11170212765957449,0.0,0.6858796228912888,0.03249999999999997,0.03841607565011817,0.0,0.6604646567711312
meta_only,model,model,extra_trees,23,166.0,0.5743380855397149,0.2016293279022403,,0.07060408553971487,0.3501677373737374,0.0,0.6498322626262626,0.02036708553971489,0.10101251515151527,0.0,0.6831376847547445,0.003394085539714875,0.01683329292929297,0.0,0.7695890494238237,0.003394085539714875,0.01683329292929297,0.0,0.7572717600423081
meta_only,model,model,extra_trees,28,118.0,0.9937722419928825,0.9017793594306049,,0.02775824199288246,0.030781633780583944,0.0,0.969218366219416,0.02775824199288246,0.030781633780583944,0.0,0.9166825766191734,0.00035624199288253333,0.0003950434096290129,0.0,0.9376288295315679,0.00035624199288253333,0.0003950434096290129,0.0,0.9157592116402306
meta_only,model,model,extra_trees,29,129.0,0.8884057971014492,0.33043478260869563,,0.057970797101449145,0.17543793859649084,0.0,0.8245620614035092,0.021738797101449214,0.06578846491228052,0.0,0.8731807380964751,0.021738797101449214,0.06578846491228052,0.0,0.7622405446758174,0.010144797101449221,0.030701359649122646,0.0,0.8252885422540672
meta_only,model,model,extra_trees,31,266.0,0.784,0.5070000000000001,,0.03300000000000003,0.06508875739644975,0.0,0.9349112426035502,0.03300000000000003,0.06508875739644975,0.0,0.8782006907095385,0.008000000000000007,0.015779092702169636,0.0,0.901339451321619,0.0,0.0,1.0,0.9160311877797875
meta_only,model,model,extra_trees,32,160.0,0.9969978165938865,0.8938318777292578,,0.034388816593886484,0.03847347297709926,0.0,0.9615265270229006,0.005549816593886536,0.006209016183206188,0.0,0.9786954063421123,0.0018198165938865252,0.002035971908397016,0.0,0.9831687632663267,0.0003639010189228076,0.00040712468193379136,0.0,0.7928054525810184
meta_only,model,model,extra_trees,37,188.0,0.7877604166666667,0.2539062500000001,,0.036458416666666715,0.14359007179487193,0.0,0.8564099282051281,0.036458416666666715,0.14359007179487193,0.0,0.7175572616988742,0.006510416666666741,0.02564102564102592,0.0,0.7908652546248203,0.006510416666666741,0.02564102564102592,0.0,0.8062947981439226
meta_only,model,model,extra_trees,43,122.0,0.9626168224299065,0.37774396870245597,,0.014127822429906511,0.03740052416570763,0.0,0.9625994758342924,0.014127822429906511,0.03740052416570763,0.0,0.8775126533924817,0.008693822429906573,0.023015119102416652,0.0,0.9052024233521505,0.008693822429906573,0.023015119102416652,0.0,0.8569199523000395
meta_only,model,model,extra_trees,45,110.0,0.9705329153605016,0.5467089153605016,,0.03855791536050157,0.07052732135358787,0.0,0.9294726786464121,0.03855791536050157,0.07052732135358787,0.0,0.9184607852999492,0.03855791536050157,0.07052732135358787,0.0,0.8997977864573247,0.00031391536050151547,0.0005741910396586796,0.0,0.8230796554497479
meta_only,model,model,extra_trees,49,133.0,1.0,0.3465553235908142,,0.06367400000000001,0.18373401204819279,0.0,0.8162659879518072,0.06367400000000001,0.18373401204819279,0.0,0.7325519429508452,0.0,0.0,1.0,0.6924965888973613,0.0,0.0,1.0,0.7477449452252153
meta_only,model,model,extra_trees,53,136.0,0.8699763593380615,0.6382978723404256,,0.11820335933806148,0.18518526296296298,0.0,0.814814737037037,0.11820335933806148,0.18518526296296298,0.0,0.6194473276523385,0.06382935933806155,0.09999932962962976,0.0,0.6728864606433858,0.007092359338061516,0.01111136296296304,0.0,0.708914636721526
meta_only,model,model,extra_trees,219,107.0,0.9501015183615819,0.5730045183615818,,0.058130518361581895,0.10144862125659525,0.0,0.8985513787434047,0.030565518361581834,0.05334254335197779,0.0,0.9071146231871993,0.030565518361581834,0.05334254335197779,0.0,0.8855471101853496,0.030565518361581834,0.05334254335197779,0.0,0.7922704445699372
meta_only,model,model,extra_trees,2074,118.0,0.9283048211508553,0.8311041990668739,,0.025816821150855374,0.031063278443113785,0.0,0.9689367215568863,0.025816821150855374,0.031063278443113785,0.0,0.9519550188379882,0.022394821150855337,0.026945864520958054,0.0,0.9575848721584638,0.0015548211508553678,0.0018707896706586856,0.0,0.8479137689877125
meta_only,model,model,extra_trees,2079,151.0,0.6997282608695652,0.4089672608695652,,0.06250026086956517,0.15282460688093763,0.0,0.8471753931190623,0.06250026086956517,0.15282460688093763,0.0,0.8287892145059446,0.013587260869565188,0.03322334614432295,0.0,0.7301914973684741,0.005434782608695676,0.013289040783215725,0.0,0.664526483769454
meta_only,model,model,extra_trees,3021,235.0,0.9928419936373277,0.5824499936373277,,0.024389993637327745,0.04187482857543747,0.0,0.9581251714245625,0.020943993637327685,0.03595844083804525,0.0,0.9570282627289491,0.020943993637327685,0.03595844083804525,0.0,0.9496560555307816,0.0,0.0,1.0,0.8993805783905876
