experiment,method,role,model,n_tasks,spearman_mean,regret@1_mean,nregret@1_mean,hit@1_mean,ndcg@1_mean,regret@3_mean,nregret@3_mean,hit@3_mean,ndcg@3_mean,regret@5_mean,nregret@5_mean,hit@5_mean,ndcg@5_mean,regret@10_mean,nregret@10_mean,hit@10_mean,ndcg@10_mean
meta_only,global_default,baseline,,72,0.6846115030196646,0.0360121257091275,0.09458661864357783,0.06944444444444445,0.9054133813564221,0.008998916769875498,0.02573861199201796,0.25,0.9088480805632805,0.004863231875964684,0.015769144775834562,0.3611111111111111,0.9185156866364754,0.0020774511168698043,0.0060952317957620504,0.5277777777777778,0.9322956764121216
meta_only,model,model,extra_trees,72,,0.058941785966445046,0.1569928390149322,0.0,0.8430071609850677,0.03031361190619723,0.07432493682287818,0.05555555555555555,0.8265140635200922,0.01288979050469272,0.03136427295482122,0.08333333333333333,0.8437147444227695,0.0047213298130525305,0.012826854992020844,0.19444444444444445,0.826981738594378
meta_only,random,baseline,,72,0.0026802884015440023,0.11193404874765091,0.23217680450293188,0.009027777777777779,0.767823195497068,0.031462026872701686,0.07650247463473742,0.03402777777777778,0.7684504634595437,0.01735215505876717,0.04494888839953784,0.06666666666666667,0.7743333537444148,0.008343903672192336,0.02340920010174495,0.13680555555555554,0.7858057803891104
tfidf_meta,global_default,baseline,,72,0.6846115030196646,0.0360121257091275,0.09458661864357783,0.06944444444444445,0.9054133813564221,0.008998916769875498,0.02573861199201796,0.25,0.9088480805632805,0.004863231875964684,0.015769144775834562,0.3611111111111111,0.9185156866364754,0.0020774511168698043,0.0060952317957620504,0.5277777777777778,0.9322956764121216
tfidf_meta,model,model,extra_trees,72,0.7313904505097759,0.014849292509045006,0.031412663480701944,0.2222222222222222,0.968587336519298,0.005049339368023082,0.012746540745294948,0.3472222222222222,0.9686349027185841,0.0036736836308439314,0.010033811373568508,0.4444444444444444,0.9686520172978901,0.0024351650969973004,0.006082812170984976,0.6111111111111112,0.966528211633003
tfidf_meta,random,baseline,,72,0.0026802884015440023,0.11193404874765091,0.23217680450293188,0.009027777777777779,0.767823195497068,0.031462026872701686,0.07650247463473742,0.03402777777777778,0.7684504634595437,0.01735215505876717,0.04494888839953784,0.06666666666666667,0.7743333537444148,0.008343903672192336,0.02340920010174495,0.13680555555555554,0.7858057803891104
tfidf_only,global_default,baseline,,72,0.6846115030196646,0.0360121257091275,0.09458661864357783,0.06944444444444445,0.9054133813564221,0.008998916769875498,0.02573861199201796,0.25,0.9088480805632805,0.004863231875964684,0.015769144775834562,0.3611111111111111,0.9185156866364754,0.0020774511168698043,0.0060952317957620504,0.5277777777777778,0.9322956764121216
tfidf_only,model,model,extra_trees,72,0.659048731224041,0.039952483023644375,0.10296596674635462,0.05555555555555555,0.8970340332536454,0.01318168122932826,0.03494330453891533,0.2361111111111111,0.8992140746595498,0.0078786854204903,0.021956311116203824,0.2916666666666667,0.9072823612367478,0.002921733462027984,0.007258123384521007,0.5416666666666666,0.9203555823895907
tfidf_only,random,baseline,,72,0.0026802884015440023,0.11193404874765091,0.23217680450293188,0.009027777777777779,0.767823195497068,0.031462026872701686,0.07650247463473742,0.03402777777777778,0.7684504634595437,0.01735215505876717,0.04494888839953784,0.06666666666666667,0.7743333537444148,0.008343903672192336,0.02340920010174495,0.13680555555555554,0.7858057803891104
