model_A,model_B,wilcoxon_stat,p_value,significant
TFIDF_R1,TFIDF_R4,1198.0,5.0510280254774334e-06,True
TFIDF_R1,MiniLM_R1,1830.0,0.016865089187315326,True
TFIDF_R1,MiniLM_R4,771.0,1.6312801379458464e-09,True
TFIDF_R4,MiniLM_R1,1381.0,8.37374866382911e-05,True
TFIDF_R4,MiniLM_R4,91.0,5.816713162471362e-17,True
MiniLM_R1,MiniLM_R4,558.0,1.3499071480391998e-11,True
